es,slug
culata de morgha,morgha_stock
cañón de cortege,cortege_barrel
sensor enemigo necramech,necramech_enemy_sense
culata de cortege,cortege_stock
reprimenda necramech,necramech_rebuke
set de cortege,cortege_set
cápsula de bonewidow,bonewidow_capsule
set de voidrig,voidrig_set
aviador necramech,necramech_aviator
escultura ayatan hemakara,ayatan_hemakara_sculpture
decuriones dobles prisma,prisma_dual_decurions
cañón de cedo,cedo_barrel
receptor de cedo,cedo_receiver
set de cedo,cedo_set
plano de chasis de mirage prime,mirage_prime_chassis_blueprint
plano de kogake prime,kogake_prime_blueprint
golpe de avispa,hornet_strike
culata de sybaris prime,sybaris_prime_stock
mirada mineral,ore_gaze
ofensiva del vigilante,vigilante_offense
reposición del mago,magus_replenish
sinergia del cazador,hunter_synergy
plumas rebanadoras,slicing_feathers
receptor de braton vándalo,braton_vandal_receiver
culata de braton vándalo,braton_vandal_stock
florecimiento peculiar,peculiar_bloom
set de chroma prime,chroma_prime_set
impronta de kubrow raksa,raksa_kubrow_imprint
set de rubico prime,rubico_prime_set
plano de gram prime,gram_prime_blueprint
emboscada,ambush
escena de la sala de hunhow,hunhows_chamber_scene
escena de contención de lua,lua_containment_scene
escena del santuario de la arboleda plateada,silver_grove_shrine_scene
reflejo de sintetizador,synth_reflex
deconstrucción de sintetizador,synth_deconstruct
buscar,fetch
mejora de tek,tek_enhance
destrucción aplastante,crashing_havoc
cartuchera de spira prime,spira_prime_pouch
escudo de transistores,transistor_shield
ajetreo de proyectiles,shell_rush
plano de sheev,sheev_blueprint
empuñadura de sheev,sheev_hilt
set de banshee prime,banshee_prime_set
set de vauban prime,vauban_prime_set
el vals de mesa,mesas_waltz
plano de fragor prime,fragor_prime_blueprint
las arenas de inaros,sands_of_inaros
empuñadura de fragor prime,fragor_prime_handle
plano de sistemas de vauban prime,vauban_prime_systems_blueprint
dispersión del averno,scattering_inferno
empuñadura de kaszas,kaszas_handle
batería tesla,tesla_bank
efigie guiada,guided_effigy
pacto persistente,lasting_covenant
alas afiladas relámpago,razorwing_blitz
nube del mago,magus_cloud
venganza,revenge
ataque corrupto,corrupt_charge
equilibrio,equilibrium
cerebro de carrier prime,carrier_prime_cerebrum
presagio definitivo,final_harbinger
set de burston prime,burston_prime_set
set de loki prime,loki_prime_set
set de nova prime,nova_prime_set
set de nyx prime,nyx_prime_set
set de soma prime,soma_prime_set
contracción rápida,twitch
alcance venenoso,venomous_rise
potenciador de adrenalina,adrenaline_boost
tiro a ciegas,blind_shot
interruptor de matanza,kill_switch
plano de chasis de saryn prime,saryn_prime_chassis_blueprint
municiones del cazador,hunter_munitions
receptor de tiberon prime,tiberon_prime_receiver
municiones meteóricas,meteor_munitions
aceleración arcana,arcane_acceleration
buscador de augurio,augur_seeker
pausa momentánea,momentary_pause
guerra eterna,eternal_war
cañón de boltor prime,boltor_prime_barrel
arremetida del gladiador,gladiator_rush
vigor del vigilante,vigilante_vigor
receptor de braton prime,braton_prime_receiver
detectores sobrecargados,overcharge_detectors
sobrevisión,overview
muerte de trofeo,prize_kill
carga rápida,quick_charge
mutación de munición de rifle prime,primed_rifle_ammo_mutation
municiones rasuradoras,razor_munitions
aracne arcano,arcane_arachne
impulso arcano,arcane_momentum
precisión arcana,arcane_precision
calma & frenesí,calm_and_frenzy
provocación pacífica,peaceful_provocation
plano de sistemas de saryn prime,saryn_prime_systems_blueprint
baliza delta,delta_beacon
plano de nikana prime,nikana_prime_blueprint
recobrarse,recover
hoja de nikana prime,nikana_prime_blade
flujo piroclástico,pyroclastic_flow
hoja conductora,conductive_blade
plano de neurópticas de zephyr prime,zephyr_prime_neuroptics_blueprint
set de zephyr prime,zephyr_prime_set
rechinar del payara,gnashing_payara
plano de kronen prime,kronen_prime_blueprint
cañón de tiberon prime,tiberon_prime_barrel
hoja de kronen prime,kronen_prime_blade
vientos de pureza,winds_of_purity
retribución,retribution
conexión eléctrica,live_wire
set de ivara prime,ivara_prime_set
fragmento de prueba,proof_fragment
aljaba empoderada,empowered_quiver
insaciable,insatiable
cambio vigoroso,vigorous_swap
agilidad anémica,anemic_agility
guardia ondulante,rolling_guard
fogonazo,muzzle_flash
escena de bomba de agua del bosque grineer,grineer_forest_water_pump_scene
fortaleza de exodia,exodia_might
verdad vengativa,avenging_truth
plano de neurópticas de mirage prime,mirage_prime_neuroptics_blueprint
escena del refugio de teshin,teshins_refuge_scene
pala superior de ballistica prime,ballistica_prime_upper_limb
munición doble,dual_rounds
hoja de orvius,orvius_blade
cargador pesado,burdened_magazine
plano de nami skyla prime,nami_skyla_prime_blueprint
impulso sónico,sonic_boost
proyectil de pax,pax_bolt
set de akjagara prime,akjagara_prime_set
enlace de akjagara prime,akjagara_prime_link
derretimiento del mago,magus_melt
enfoque determinado,resolute_focus
muro de fuego del mago,magus_firewall
destrucción del mago,magus_destruct
maldición de desecación,desiccations_curse
cañón de stradavar prime,stradavar_prime_barrel
culata de stradavar prime,stradavar_prime_stock
kit de reparación,repair_kit
periferia de aero,aero_periphery
matriz antigravedad,anti_grav_array
agilidad de aero,aero_agility
gracia del kavat,kavats_grace
campo de estasis,stasis_field
rayo atractor,tractor_beam
chasquido de protón,proton_snap
escena de la casa club de los ventkids,ventkids_clubhouse_scene
escena de salón inferior de la ciudad gaseosa,gas_city_lower_foyer_scene
escena de corredores de la ciudad gaseosa,gas_city_corridors_scene
escena de reguladores de la ciudad gaseosa,gas_city_regulators_scene
cámara preparada,primed_chamber
plano de alas odonata prime,odonata_prime_wings_blueprint
furia buscadora,seeking_fury
lente naramon eidolon,eidolon_naramon_lens
impacto meteórico,meteor_crash
culata de tiberon prime,tiberon_prime_stock
cáscara del mago,magus_husk
elevación del mago,magus_elevate
recuperación del cazador,hunter_recovery
guardián,guardian
set de mirage prime,mirage_prime_set
sombra de humo,smoke_shadow
empuñadura de spectra vándalo,spectra_vandal_handle
plano de spectra vándalo,spectra_vandal_blueprint
estallido destrozador,shatter_burst
ruptura quanta,breach_quanta
anclaje,tether
gremlins gemelas prisma,prisma_twin_gremlins
anochecer celestial,celestial_nightfall
cartucho cargado prime,primed_charged_shell
cañón de akjagara prime,akjagara_prime_barrel
balas cargadas,charged_bullets
choque de partículas,particle_ram
pulso de interrupción,blackout_pulse
municiones sabot,sabot_rounds
receptor de rubico prime,rubico_prime_receiver
hoja de galatine prime,galatine_prime_blade
set de gram prime,gram_prime_set
tigris sancti,sancti_tigris
culata de rubico prime,rubico_prime_stock
plano de nekros prime,nekros_prime_blueprint
plano de sistemas de trinity prime,trinity_prime_systems_blueprint
amplificador de pistola,pistol_amp
preparación,preparation
plano de chasis de titania prime,titania_prime_chassis_blueprint
culata de corinth prime,corinth_prime_stock
plano de corinth prime,corinth_prime_blueprint
plano de sistemas de titania prime,titania_prime_systems_blueprint
intensificación necramech,necramech_intensify
furia,fury
antitoxina citrino,citrine_antitoxin
subcorteza de pathocyst,pathocyst_subcortex
plano de sistemas de atlas prime,atlas_prime_systems_blueprint
plano de neurópticas de atlas prime,atlas_prime_neuroptics_blueprint
plano de atlas prime,atlas_prime_blueprint
sistemas de dethcube prime,dethcube_prime_systems
set de pyrana prime,pyrana_prime_set
silencio violento,savage_silence
chakram segador,reaping_chakram
supra vándalo,supra_vandal
plano de limbo prime,limbo_prime_blueprint
cañón de braton vándalo,braton_vandal_barrel
destrozar,ravage
plano de destreza prime,destreza_prime_blueprint
llave maestra,master_key
fuera de vista,out_of_sight
khra,khra
lohk,lohk
sangre por munición,blood_for_ammo
a prueba de fallos,failsafe
sangre por energía,blood_for_energy
xata,xata
vuelos divididos,split_flights
hoja de gram prime,gram_prime_blade
golpe voltaico,voltaic_strike
plano de chasis de limbo prime,limbo_prime_chassis_blueprint
escultura ayatan anasa,ayatan_anasa_sculpture
receptor de lato vándalo,lato_vandal_receiver
asalto de tek,tek_assault
gravedad de tek,tek_gravity
garantía de tek,tek_collateral
carga de sintetizador,synth_charge
sobrecarga de mecha,mecha_overdrive
separación estelar,star_divide
hoja de spira prime,spira_prime_blade
receptor de snipetron vándalo,snipetron_vandal_receiver
campo de energía,energy_field
desgarrar el zodíaco,zodiac_shred
propulsores de aire,air_thrusters
regeneración prime,primed_regen
aptitud de rifle,rifle_aptitude
pacto de augurio,augur_pact
teletransportación rápida,fatal_teleport
probóscide,proboscis
furor,furor
castigo virulento,virulent_scourge
receptor de lex prime,lex_prime_receiver
tabla de asesinatos,slay_board
plano de neurópticas de mesa prime,mesa_prime_neuroptics_blueprint
empuñadura de redeemer prime,redeemer_prime_handle
enfoque crítico,critical_focus
cadena de munición,ammo_chain
escena de cetus,cetus_scene
infusión de ión,ion_infusion
empuñadura del mazo del lobo,wolf_sledge_handle
set de equinox prime,equinox_prime_set
onda sísmica necramech,necramech_seismic_wave
estiramiento necramech,necramech_stretch
escena del vacío granum,granum_void_scene
bhisaj-bal,bhisaj_bal
desviación necramech,necramech_deflection
botánico,botanist
combo de furia,combo_fury
set de guandao prime,guandao_prime_set
set de zakti prime,zakti_prime_set
forúnculos residuales,residual_boils
receptor de sporothrix,sporothrix_receiver
flujo necramech,necramech_flow
parásito volátil,volatile_parasite
viremia residual,residual_viremia
fetidez residual,residual_malodor
choque mach,mach_crash
rebote volátil,volatile_rebound
cañón de sporothrix,sporothrix_barrel
escultura ayatan kitha,ayatan_kitha_sculpture
teorema de contagio,theorem_contagion
receptor de morgha,morgha_receiver
receptor de cortege,cortege_receiver
motor de voidrig,voidrig_engine
augurio necramech,necramech_augur
motor de bonewidow,bonewidow_engine
culata de cedo,cedo_stock
adaptación,adaptation
francotirador,sharpshooter
donación de poder,power_donation
disparo cauteloso,cautious_shot
contrapulso,counter_pulse
cañón de baza prime,baza_prime_barrel
cañón de aksomati prime,aksomati_prime_barrel
localizador de los sistemas de grendel,grendel_systems_locator
chasis de spectra vándalo,spectra_vandal_chassis
set de spectra vándalo,spectra_vandal_set
castiga grineer prime,primed_smite_grineer
escena del vestíbulo consciente,sentient_concourse_scene
localizador de chasis de grendel,grendel_chassis_locator
supresión de incendios,fire_suppression
quemadura iónica,ion_burn
forja de batalla,battle_forge
astillas de reparación,mending_splinters
despojar,despoil
nube envolvente,enveloping_cloud
corriente en chorro,jet_stream
cañón de corvas,corvas_barrel
salto sin corriente,no_current_leap
patadón,patagium
skana prisma,prisma_skana
set de bronco prime,bronco_prime_set
corte astral,astral_slash
plano de sistemas de zephyr prime,zephyr_prime_systems_blueprint
dualidad,duality
empujar & halar,push_and_pull
transferencia eficiente,efficient_transferral
escena de logística superior de la ciudad gaseosa,gas_city_upper_logistics_scene
lente zenurik de lua,lua_zenurik_lens
antitoxina lapis,lapis_antitoxin
antitoxina bermellón,vermillion_antitoxin
arpón revelador,exposing_harpoon
haces eficientes,efficient_beams
agrietado de arma para compañero (velado),companion_weapon_riven_mod_(veiled)
antitoxina berilo,beryl_antitoxin
puntería meticulosa,meticulous_aim
plano de lente de lua,lua_lens_blueprint
lente madurai de lua,lua_madurai_lens
antitoxina topacio,topaz_antitoxin
antitoxina amatista,amethyst_antitoxin
lente vazarin de lua,lua_vazarin_lens
lente naramon de lua,lua_naramon_lens
tanque arcano,arcane_tanker
pistolero arcano,arcane_pistoleer
plano de pathocyst,pathocyst_blueprint
hoja de pathocyst,pathocyst_blade
set de pathocyst,pathocyst_set
flecha concentrada,concentrated_arrow
set de ash prime,ash_prime_set
plano de neurópticas de limbo prime,limbo_prime_neuroptics_blueprint
transferencia de energía,energy_transfer
impronta de kavat smeeta,smeeta_kavat_imprint
plano de chroma prime,chroma_prime_blueprint
escultura ayatan zambuka,ayatan_zambuka_sculpture
brecha automática,auto_breach
imposible de rastrear,untraceable
vome,vome
fass,fass
cañones de vipers gemelas fantasma,twin_vipers_wraith_barrels
thyst marquesa,marquise_thyst
impronta de kubrow sahasa,sahasa_kubrow_imprint
impronta de kubrow huras,huras_kubrow_imprint
lágrimas de goblita,goblite_tears
potenciación nitro,nitro_boost
velocidad extrema,extreme_velocity
carga de pax,pax_charge
set de mesa prime,mesa_prime_set
plano de sistemas de mesa prime,mesa_prime_systems_blueprint
plano de chasis de mesa prime,mesa_prime_chassis_blueprint
regresión del mago,magus_revert
estasis de intruso,intruder_stasis
hiperataque,hyperstrike
depredador,predator
boquilla cónica,conic_nozzle
carga desenfrenada,ripload
plano de pennant,pennant_blueprint
formación,form_up
plano de quellor,quellor_blueprint
descarga buscadora,seeker_volley
tormenta reactiva,reactive_storm
simulor synoid,synoid_simulor
plano de rubico prime,rubico_prime_blueprint
plano de chasis de trinity prime,trinity_prime_chassis_blueprint
poder ascendente,growing_power
sangre por vida,blood_for_life
jahu,jahu
ris,ris
netra,netra
plano de ivara prime,ivara_prime_blueprint
plano de aksomati prime,aksomati_prime_blueprint
empuñadura de shedu,shedu_handle
cañón de spectra vándalo,spectra_vandal_barrel
impronta de kavat vasca,vasca_kavat_imprint
castiga orokin prime,primed_smite_corrupted
localizador de las neurópticas de grendel,grendel_neuroptics_locator
artillería frontal,forward_artillery
vórtice de municiones,munitions_vortex
escena de la sala de lotus,chamber_of_the_lotus_scene
shuriken buscador,seeking_shuriken
velocidad electrizante,shocking_speed
vengador arcano,arcane_avenger
set de nekros prime,nekros_prime_set
fantasma arcano,arcane_phantasm
plano de sistemas de nekros prime,nekros_prime_systems_blueprint
plano de sistemas de chroma prime,chroma_prime_systems_blueprint
último heraldo,last_herald
ira arcana,arcane_rage
plano de chasis de chroma prime,chroma_prime_chassis_blueprint
set de galatine prime,galatine_prime_set
plano de neurópticas de chroma prime,chroma_prime_neuroptics_blueprint
plano de akjagara prime,akjagara_prime_blueprint
infección de cepa,strain_infection
escape rápido,quick_escape
agujero del vacío,void_hole
flor de la muerte,death_blossom
escena del altar consciente,sentient_altar_scene
zylok,zylok
empuñadura de galatine prime,galatine_prime_handle
aterrizaje helado,cold_arrival
represalia de vejación,vexing_retaliation
bloqueo del mago,magus_lockdown
impronta de kubrow chesa,chesa_kubrow_imprint
cernos rakta,rakta_cernos
pop del top,pop_top
hoja de kamas dobles prime,dual_kamas_prime_blade
deslizamiento controlado,controlled_slide
disparo reparador,mending_shot
vuelo férreo,ironclad_flight
empuñadura de pangolín prime,pangolin_prime_handle
set de corinth prime,corinth_prime_set
plano de pangolín prime,pangolin_prime_blueprint
sobrecargador,overloader
cañón de corinth prime,corinth_prime_barrel
receptor de corinth prime,corinth_prime_receiver
cubierta de necramech dañada,damaged_necramech_casing
necratina estrellada,stellated_necrathene
dagónica purgada,purged_dagonic
transfusión,transfusion
caparazón de carnis,carnis_carapace
caparazón de jugulus,jugulus_carapace
regresión taimada,sly_devolution
escudo antiexplosivo,blast_shield
micelio latric,iatric_mycelium
escena de la bóveda de deimos,deimos_vault_scene
escena de la sala de deimos,deimos_chamber_scene
escena de avanzada de deimos,deimos_breakthrough_scene
optimización necramech,necramech_streamline
escena de cargamento de galeón grineer,grineer_galleon_cargo_scene
escena del orbitador,orbiter_scene
escena de batería de artillería,artillery_battery_scene
escena de las catacumbas de deimos,deimos_catacombs_scene
escena de los túneles de deimos,deimos_tunnels_scene
damzav-vati,damzav_vati
hata-satya,hata_satya
zazvat-kar,zazvat_kar
escena de depósito corpus,corpus_depository_scene
hidráulicos necramech,necramech_hydraulics
relámpago necramech,necramech_blitz
escena de distribución elemental de la ciudad gaseosa,gas_city_element_distribution_scene
furia necramech,necramech_fury
escena de la caída de deimos,deimos_downfall_scene
hoja de guandao prime,guandao_prime_blade
plano de zakti prime,zakti_prime_blueprint
empuñadura de guandao prime,guandao_prime_handle
cañón de zakti prime,zakti_prime_barrel
plano de sistemas de nezha prime,nezha_prime_systems_blueprint
plano de chasis de nezha prime,nezha_prime_chassis_blueprint
receptor de zakti prime,zakti_prime_receiver
plano de neurópticas de nezha prime,nezha_prime_neuroptics_blueprint
set de nezha prime,nezha_prime_set
derivación necramech,necramech_drift
culata de sporothrix,sporothrix_stock
remache de arum spinosa,arum_spinosa_rivet
simbiosis del mártir,martyr_symbiosis
fricción necramech,necramech_friction
reparación necramech,necramech_repair
cubierta de voidrig,voidrig_casing
set de morgha,morgha_set
plano de lacera ceti,ceti_lacera_blueprint
ira necramech,necramech_rage
cañón de morgha,morgha_barrel
cápsula de voidrig,voidrig_capsule
plano de basmu,basmu_blueprint
cápsula de arma de voidrig,voidrig_weapon_pod
plano de cedo,cedo_blueprint
plano de octavia prime,octavia_prime_blueprint
plano de tenora prime,tenora_prime_blueprint
receptor de tenora prime,tenora_prime_receiver
set de pandero prime,pandero_prime_set
culata de tenora prime,tenora_prime_stock
set de tenora prime,tenora_prime_set
cañón de pandero prime,pandero_prime_barrel
cañón de tenora prime,tenora_prime_barrel
plano de chasis de octavia prime,octavia_prime_chassis_blueprint
plano de neurópticas de octavia prime,octavia_prime_neuroptics_blueprint
receptor de pandero prime,pandero_prime_receiver
plano de sistemas de octavia prime,octavia_prime_systems_blueprint
plano de pandero prime,pandero_prime_blueprint
set de octavia prime,octavia_prime_set
alcance helado prime,primed_chilling_grasp
equilibrio (steam pinnacle pack),equilibrium_(steam_pinnacle_pack)
marca de la bestia,mark_of_the_beast
la mazmorra de nihil (llave),nihils_oubliette_(key)
señal de vacío de baro (llave),baro_void_signal_(key)
reliquia réquiem iv,requiem_iv_relic
reliquia réquiem iii,requiem_iii_relic
reliquia réquiem ii,requiem_ii_relic
reliquia réquiem i,requiem_i_relic
reliquia axi h3,axi_h3_relic
reliquia axi o2,axi_o2_relic
reliquia axi k2,axi_k2_relic
reliquia axi r1,axi_r1_relic
reliquia axi b2,axi_b2_relic
reliquia axi l5,axi_l5_relic
reliquia axi p1,axi_p1_relic
reliquia axi m1,axi_m1_relic
reliquia axi d1,axi_d1_relic
reliquia axi g2,axi_g2_relic
reliquia axi o1,axi_o1_relic
reliquia axi v8,axi_v8_relic
reliquia axi h2,axi_h2_relic
reliquia axi c2,axi_c2_relic
reliquia axi a10,axi_a10_relic
reliquia axi t5,axi_t5_relic
reliquia axi t4,axi_t4_relic
reliquia axi g4,axi_g4_relic
reliquia axi h1,axi_h1_relic
reliquia axi s5,axi_s5_relic
reliquia axi v9,axi_v9_relic
reliquia axi e2,axi_e2_relic
reliquia axi s3,axi_s3_relic
reliquia axi b1,axi_b1_relic
reliquia axi e1,axi_e1_relic
reliquia axi a2,axi_a2_relic
reliquia axi t6,axi_t6_relic
reliquia axi c6,axi_c6_relic
reliquia axi w2,axi_w2_relic
reliquia axi a13,axi_a13_relic
reliquia axi o5,axi_o5_relic
reliquia axi s6,axi_s6_relic
reliquia axi c1,axi_c1_relic
reliquia axi s8,axi_s8_relic
reliquia axi v10,axi_v10_relic
reliquia axi s7,axi_s7_relic
reliquia axi z1,axi_z1_relic
reliquia axi v5,axi_v5_relic
reliquia axi a3,axi_a3_relic
reliquia axi v7,axi_v7_relic
reliquia axi c4,axi_c4_relic
reliquia axi l3,axi_l3_relic
reliquia axi h4,axi_h4_relic
reliquia axi r2,axi_r2_relic
reliquia axi a5,axi_a5_relic
reliquia axi s4,axi_s4_relic
reliquia axi v4,axi_v4_relic
reliquia axi l4,axi_l4_relic
reliquia axi a4,axi_a4_relic
reliquia axi l2,axi_l2_relic
reliquia axi o3,axi_o3_relic
reliquia axi k3,axi_k3_relic
reliquia axi g1,axi_g1_relic
reliquia axi t1,axi_t1_relic
reliquia axi a9,axi_a9_relic
reliquia axi p3,axi_p3_relic
reliquia axi d2,axi_d2_relic
reliquia axi b3,axi_b3_relic
reliquia axi a8,axi_a8_relic
reliquia axi w1,axi_w1_relic
reliquia axi b4,axi_b4_relic
reliquia axi c5,axi_c5_relic
reliquia axi a11,axi_a11_relic
reliquia axi n3,axi_n3_relic
reliquia axi v6,axi_v6_relic
reliquia axi n5,axi_n5_relic
reliquia axi n4,axi_n4_relic
reliquia axi v3,axi_v3_relic
reliquia axi n2,axi_n2_relic
reliquia axi v2,axi_v2_relic
reliquia axi k5,axi_k5_relic
reliquia axi t2,axi_t2_relic
reliquia axi s2,axi_s2_relic
reliquia axi l1,axi_l1_relic
reliquia axi a1,axi_a1_relic
reliquia axi n1,axi_n1_relic
reliquia axi o4,axi_o4_relic
reliquia axi k4,axi_k4_relic
reliquia axi c3,axi_c3_relic
reliquia axi k1,axi_k1_relic
reliquia axi a12,axi_a12_relic
reliquia axi h5,axi_h5_relic
reliquia axi v1,axi_v1_relic
reliquia axi t3,axi_t3_relic
reliquia axi g3,axi_g3_relic
reliquia axi r3,axi_r3_relic
reliquia axi a6,axi_a6_relic
reliquia axi p2,axi_p2_relic
reliquia axi a7,axi_a7_relic
reliquia axi n6,axi_n6_relic
reliquia axi s1,axi_s1_relic
reliquia neo z1,neo_z1_relic
reliquia neo b4,neo_b4_relic
reliquia neo k1,neo_k1_relic
reliquia neo n7,neo_n7_relic
reliquia neo b3,neo_b3_relic
reliquia neo n6,neo_n6_relic
reliquia neo r2,neo_r2_relic
reliquia neo z3,neo_z3_relic
reliquia neo s12,neo_s12_relic
reliquia neo b2,neo_b2_relic
reliquia neo o1,neo_o1_relic
reliquia neo s6,neo_s6_relic
reliquia neo v5,neo_v5_relic
reliquia neo r4,neo_r4_relic
reliquia neo m3,neo_m3_relic
reliquia neo p1,neo_p1_relic
reliquia neo i2,neo_i2_relic
reliquia neo b1,neo_b1_relic
reliquia neo s13,neo_s13_relic
reliquia neo n5,neo_n5_relic
reliquia neo r1,neo_r1_relic
reliquia neo t1,neo_t1_relic
reliquia neo s5,neo_s5_relic
reliquia neo n15,neo_n15_relic
reliquia neo b7,neo_b7_relic
reliquia neo p2,neo_p2_relic
reliquia neo z7,neo_z7_relic
reliquia neo n14,neo_n14_relic
reliquia neo g3,neo_g3_relic
reliquia neo n11,neo_n11_relic
reliquia neo n4,neo_n4_relic
reliquia neo v9,neo_v9_relic
reliquia neo n12,neo_n12_relic
reliquia neo e2,neo_e2_relic
reliquia neo z6,neo_z6_relic
reliquia neo s14,neo_s14_relic
reliquia neo n13,neo_n13_relic
reliquia neo d2,neo_d2_relic
reliquia neo v4,neo_v4_relic
reliquia neo v6,neo_v6_relic
reliquia neo m1,neo_m1_relic
reliquia neo s9,neo_s9_relic
reliquia neo m2,neo_m2_relic
reliquia neo z2,neo_z2_relic
reliquia neo n9,neo_n9_relic
reliquia neo a1,neo_a1_relic
reliquia neo v8,neo_v8_relic
reliquia neo b5,neo_b5_relic
reliquia neo v7,neo_v7_relic
reliquia neo n8,neo_n8_relic
reliquia neo l1,neo_l1_relic
reliquia neo v3,neo_v3_relic
reliquia neo v2,neo_v2_relic
reliquia neo g2,neo_g2_relic
reliquia neo r3,neo_r3_relic
reliquia neo z5,neo_z5_relic
reliquia neo i1,neo_i1_relic
reliquia neo t3,neo_t3_relic
reliquia neo n3,neo_n3_relic
reliquia neo h1,neo_h1_relic
reliquia neo s8,neo_s8_relic
reliquia neo s7,neo_s7_relic
reliquia neo s3,neo_s3_relic
reliquia neo d1,neo_d1_relic
reliquia neo c1,neo_c1_relic
reliquia neo n10,neo_n10_relic
reliquia neo s11,neo_s11_relic
reliquia neo e1,neo_e1_relic
reliquia neo f1,neo_f1_relic
reliquia neo v1,neo_v1_relic
reliquia neo n2,neo_n2_relic
reliquia neo h2,neo_h2_relic
reliquia neo a2,neo_a2_relic
reliquia neo g1,neo_g1_relic
reliquia neo k2,neo_k2_relic
reliquia neo n1,neo_n1_relic
reliquia neo b6,neo_b6_relic
reliquia neo s2,neo_s2_relic
reliquia neo a3,neo_a3_relic
reliquia neo z4,neo_z4_relic
reliquia neo t2,neo_t2_relic
reliquia neo a4,neo_a4_relic
reliquia neo s10,neo_s10_relic
reliquia neo s1,neo_s1_relic
reliquia meso t2,meso_t2_relic
reliquia meso t1,meso_t1_relic
reliquia meso o2,meso_o2_relic
reliquia meso s6,meso_s6_relic
reliquia meso m1,meso_m1_relic
reliquia meso v5,meso_v5_relic
reliquia meso n7,meso_n7_relic
reliquia meso k2,meso_k2_relic
reliquia meso a2,meso_a2_relic
reliquia meso n4,meso_n4_relic
reliquia meso s5,meso_s5_relic
reliquia meso o1,meso_o1_relic
reliquia meso c5,meso_c5_relic
reliquia meso r3,meso_r3_relic
reliquia meso e4,meso_e4_relic
reliquia meso v4,meso_v4_relic
reliquia meso n8,meso_n8_relic
reliquia meso s4,meso_s4_relic
reliquia meso n6,meso_n6_relic
reliquia meso n3,meso_n3_relic
reliquia meso f2,meso_f2_relic
reliquia meso t4,meso_t4_relic
reliquia meso d6,meso_d6_relic
reliquia meso p4,meso_p4_relic
reliquia meso o4,meso_o4_relic
reliquia meso s3,meso_s3_relic
reliquia meso n11,meso_n11_relic
reliquia meso d5,meso_d5_relic
reliquia meso g2,meso_g2_relic
reliquia meso c6,meso_c6_relic
reliquia meso v3,meso_v3_relic
reliquia meso k1,meso_k1_relic
reliquia meso h1,meso_h1_relic
reliquia meso m2,meso_m2_relic
reliquia meso a1,meso_a1_relic
reliquia meso z2,meso_z2_relic
reliquia meso p1,meso_p1_relic
reliquia meso b3,meso_b3_relic
reliquia meso c2,meso_c2_relic
reliquia meso o3,meso_o3_relic
reliquia meso s7,meso_s7_relic
reliquia meso b2,meso_b2_relic
reliquia meso z1,meso_z1_relic
reliquia meso d2,meso_d2_relic
reliquia meso f1,meso_f1_relic
reliquia meso s2,meso_s2_relic
reliquia meso l1,meso_l1_relic
reliquia meso c4,meso_c4_relic
reliquia meso r2,meso_r2_relic
reliquia meso n9,meso_n9_relic
reliquia meso b4,meso_b4_relic
reliquia meso i1,meso_i1_relic
reliquia meso k3,meso_k3_relic
reliquia meso n10,meso_n10_relic
reliquia meso p3,meso_p3_relic
reliquia meso p2,meso_p2_relic
reliquia meso s1,meso_s1_relic
reliquia meso g1,meso_g1_relic
reliquia meso c3,meso_c3_relic
reliquia meso n5,meso_n5_relic
reliquia meso v1,meso_v1_relic
reliquia meso b1,meso_b1_relic
reliquia meso e2,meso_e2_relic
reliquia meso z3,meso_z3_relic
reliquia meso m3,meso_m3_relic
reliquia meso f3,meso_f3_relic
reliquia meso e1,meso_e1_relic
reliquia meso n2,meso_n2_relic
reliquia meso v2,meso_v2_relic
reliquia meso r1,meso_r1_relic
reliquia meso d3,meso_d3_relic
reliquia meso t3,meso_t3_relic
reliquia meso s8,meso_s8_relic
reliquia meso c1,meso_c1_relic
reliquia meso e5,meso_e5_relic
reliquia meso n1,meso_n1_relic
reliquia meso e3,meso_e3_relic
reliquia meso d4,meso_d4_relic
reliquia meso w1,meso_w1_relic
reliquia meso v6,meso_v6_relic
reliquia meso s9,meso_s9_relic
reliquia meso d1,meso_d1_relic
reliquia lith h2,lith_h2_relic
reliquia lith z1,lith_z1_relic
reliquia lith b1,lith_b1_relic
reliquia lith a2,lith_a2_relic
reliquia lith l1,lith_l1_relic
reliquia lith w1,lith_w1_relic
reliquia lith v4,lith_v4_relic
reliquia lith s6,lith_s6_relic
reliquia lith n3,lith_n3_relic
reliquia lith n4,lith_n4_relic
reliquia lith m5,lith_m5_relic
reliquia lith c6,lith_c6_relic
reliquia lith c5,lith_c5_relic
reliquia lith v6,lith_v6_relic
reliquia lith v3,lith_v3_relic
reliquia lith b4,lith_b4_relic
reliquia lith n2,lith_n2_relic
reliquia lith g1,lith_g1_relic
reliquia lith i1,lith_i1_relic
reliquia lith t5,lith_t5_relic
reliquia lith g3,lith_g3_relic
reliquia lith b8,lith_b8_relic
reliquia lith d4,lith_d4_relic
reliquia lith t3,lith_t3_relic
reliquia lith s9,lith_s9_relic
reliquia lith s5,lith_s5_relic
reliquia lith c7,lith_c7_relic
reliquia lith k4,lith_k4_relic
reliquia lith t4,lith_t4_relic
reliquia lith n6,lith_n6_relic
reliquia lith b7,lith_b7_relic
reliquia lith p5,lith_p5_relic
reliquia lith d3,lith_d3_relic
reliquia lith n5,lith_n5_relic
